yyyy-mm-dd,HH:MM,team1,team2,score1,score2
17/10/10,00:00,Sampdoria,Fiorentina,2,1
23/10/10,00:00,Fiorentina,Bari,2,1
24/10/10,00:00,Bologna,Juventus,0,0
24/10/10,00:00,Chievo,Cesena,2,1
24/10/10,00:00,Genoa,Catania,1,0
24/10/10,00:00,Inter,Sampdoria,1,1
24/10/10,00:00,Lazio,Cagliari,2,1
24/10/10,00:00,Lecce,Brescia,2,1
24/10/10,00:00,Parma,Roma,0,0
24/10/10,00:00,Udinese,Palermo,2,1
25/10/10,00:00,Napoli,Milan,1,2
29/10/10,00:00,Genoa,Inter,0,1
30/10/10,00:00,Milan,Juventus,1,2
30/10/10,00:00,Roma,Lecce,2,0
31/10/10,00:00,Bari,Udinese,0,2
31/10/10,00:00,Brescia,Napoli,0,1
31/10/10,00:00,Cagliari,Bologna,2,0
31/10/10,00:00,Catania,Fiorentina,0,0
31/10/10,00:00,Cesena,Sampdoria,0,1
31/10/10,00:00,Palermo,Lazio,0,1
31/10/10,00:00,Parma,Chievo,0,0
06/11/10,00:00,Bologna,Lecce,2,0
06/11/10,00:00,Inter,Brescia,1,1
07/11/10,00:00,Bari,Milan,2,3
07/11/10,00:00,Fiorentina,Chievo,1,0
07/11/10,00:00,Juventus,Cesena,3,1
07/11/10,00:00,Lazio,Roma,0,2
07/11/10,00:00,Napoli,Parma,2,0
07/11/10,00:00,Palermo,Genoa,1,0
07/11/10,00:00,Sampdoria,Catania,0,0
07/11/10,00:00,Udinese,Cagliari,1,1
10/11/10,00:00,Brescia,Juventus,1,1
10/11/10,00:00,Cagliari,Napoli,0,1
10/11/10,00:00,Catania,Udinese,1,0
10/11/10,00:00,Cesena,Lazio,1,0
10/11/10,00:00,Chievo,Bari,0,0
10/11/10,00:00,Genoa,Bologna,1,0
10/11/10,00:00,Lecce,Inter,1,1
10/11/10,00:00,Milan,Palermo,3,1
10/11/10,00:00,Roma,Fiorentina,3,2
11/11/10,00:00,Parma,Sampdoria,1,0
13/11/10,00:00,Fiorentina,Cesena,1,0
13/11/10,00:00,Juventus,Roma,1,1
14/11/10,00:00,Bari,Parma,0,1
14/11/10,00:00,Bologna,Brescia,1,0
14/11/10,00:00,Cagliari,Genoa,0,1
14/11/10,00:00,Inter,Milan,0,1
14/11/10,00:00,Lazio,Napoli,2,0
14/11/10,00:00,Palermo,Catania,3,1
14/11/10,00:00,Sampdoria,Chievo,0,0
14/11/10,00:00,Udinese,Lecce,4,0
20/11/10,00:00,Milan,Fiorentina,1,0
20/11/10,00:00,Roma,Udinese,2,0
21/11/10,00:00,Brescia,Cagliari,1,2
21/11/10,00:00,Catania,Bari,1,0
21/11/10,00:00,Cesena,Palermo,1,2
21/11/10,00:00,Chievo,Inter,2,1
21/11/10,00:00,Genoa,Juventus,0,2
21/11/10,00:00,Lecce,Sampdoria,2,3
21/11/10,00:00,Napoli,Bologna,4,1
21/11/10,00:00,Parma,Lazio,1,1
27/11/10,00:00,Juventus,Fiorentina,1,1
27/11/10,00:00,Sampdoria,Milan,1,1
28/11/10,00:00,Bari,Cesena,1,1
28/11/10,00:00,Brescia,Genoa,0,0
28/11/10,00:00,Cagliari,Lecce,3,2
28/11/10,00:00,Inter,Parma,5,2
28/11/10,00:00,Lazio,Catania,1,1
28/11/10,00:00,Palermo,Roma,3,1
28/11/10,00:00,Udinese,Napoli,3,1
03/12/10,00:00,Lazio,Inter,3,1
04/12/10,00:00,Chievo,Roma,2,2
04/12/10,00:00,Milan,Brescia,3,0
05/12/10,00:00,Catania,Juventus,1,3
05/12/10,00:00,Cesena,Bologna,0,2
05/12/10,00:00,Fiorentina,Cagliari,1,0
