yyyy-mm-dd,HH:MM,team1,team2,score1,score2
18/02/17,00:00,Empoli,Lazio,1,2
19/02/17,00:00,Bologna,Inter,0,1
19/02/17,00:00,Chievo,Napoli,1,3
19/02/17,00:00,Milan,Fiorentina,2,1
19/02/17,00:00,Roma,Torino,4,1
19/02/17,00:00,Sampdoria,Cagliari,1,1
19/02/17,00:00,Udinese,Sassuolo,1,2
25/02/17,00:00,Juventus,Empoli,2,0
25/02/17,00:00,Napoli,Atalanta,0,2
26/02/17,00:00,Genoa,Bologna,1,1
26/02/17,00:00,Inter,Roma,1,3
26/02/17,00:00,Lazio,Udinese,1,0
26/02/17,00:00,Sassuolo,Milan,0,1
27/02/17,00:00,Fiorentina,Torino,2,2
04/03/17,00:00,Milan,Chievo,3,1
04/03/17,00:00,Roma,Napoli,1,2
05/03/17,00:00,Atalanta,Fiorentina,0,0
05/03/17,00:00,Bologna,Lazio,0,2
05/03/17,00:00,Cagliari,Inter,1,5
05/03/17,00:00,Empoli,Genoa,0,2
05/03/17,00:00,Udinese,Juventus,1,1
10/03/17,00:00,Juventus,Milan,2,1
11/03/17,00:00,Genoa,Sampdoria,0,1
12/03/17,00:00,Chievo,Empoli,4,0
12/03/17,00:00,Fiorentina,Cagliari,1,0
12/03/17,00:00,Inter,Atalanta,7,1
12/03/17,00:00,Sassuolo,Bologna,0,1
13/03/17,00:00,Lazio,Torino,3,1
18/03/17,00:00,Milan,Genoa,1,0
18/03/17,00:00,Torino,Inter,2,2
19/03/17,00:00,Bologna,Chievo,4,1
19/03/17,00:00,Cagliari,Lazio,0,0
19/03/17,00:00,Empoli,Napoli,2,3
19/03/17,00:00,Roma,Sassuolo,3,1
19/03/17,00:00,Sampdoria,Juventus,0,1
01/04/17,00:00,Roma,Empoli,2,0
01/04/17,00:00,Sassuolo,Lazio,1,2
02/04/17,00:00,Fiorentina,Bologna,1,0
02/04/17,00:00,Genoa,Atalanta,0,5
02/04/17,00:00,Napoli,Juventus,1,1
02/04/17,00:00,Torino,Udinese,2,2
03/04/17,00:00,Inter,Sampdoria,1,2
08/04/17,00:00,Atalanta,Sassuolo,1,1
08/04/17,00:00,Juventus,Chievo,2,0
09/04/17,00:00,Bologna,Roma,0,3
09/04/17,00:00,Cagliari,Torino,2,3
09/04/17,00:00,Lazio,Napoli,0,3
09/04/17,00:00,Sampdoria,Fiorentina,2,2
09/04/17,00:00,Udinese,Genoa,3,0
15/04/17,00:00,Cagliari,Chievo,4,0
15/04/17,00:00,Fiorentina,Empoli,1,2
15/04/17,00:00,Genoa,Lazio,2,2
15/04/17,00:00,Inter,Milan,2,2
15/04/17,00:00,Napoli,Udinese,3,0
15/04/17,00:00,Roma,Atalanta,1,1
15/04/17,00:00,Sassuolo,Sampdoria,2,1
22/04/17,00:00,Atalanta,Bologna,3,2
22/04/17,00:00,Fiorentina,Inter,5,4
23/04/17,00:00,Chievo,Torino,1,3
23/04/17,00:00,Juventus,Genoa,4,0
23/04/17,00:00,Milan,Empoli,1,2
23/04/17,00:00,Sassuolo,Napoli,2,2
23/04/17,00:00,Udinese,Cagliari,2,1
28/04/17,00:00,Atalanta,Juventus,2,2
29/04/17,00:00,Torino,Sampdoria,1,1
30/04/17,00:00,Bologna,Udinese,4,0
30/04/17,00:00,Empoli,Sassuolo,1,3
30/04/17,00:00,Genoa,Chievo,1,2
30/04/17,00:00,Inter,Napoli,0,1
30/04/17,00:00,Roma,Lazio,1,3
06/05/17,00:00,Juventus,Torino,1,1
06/05/17,00:00,Napoli,Cagliari,3,1
07/05/17,00:00,Empoli,Bologna,3,1
07/05/17,00:00,Genoa,Inter,1,0
07/05/17,00:00,Lazio,Sampdoria,7,3
07/05/17,00:00,Milan,Roma,1,4
07/05/17,00:00,Sassuolo,Fiorentina,2,2
07/05/17,00:00,Udinese,Atalanta,1,1
13/05/17,00:00,Atalanta,Milan,1,1
13/05/17,00:00,Fiorentina,Lazio,3,2
14/05/17,00:00,Cagliari,Empoli,3,2
14/05/17,00:00,Inter,Sassuolo,1,2
14/05/17,00:00,Roma,Juventus,3,1
14/05/17,00:00,Sampdoria,Chievo,1,1
14/05/17,00:00,Torino,Napoli,0,5
20/05/17,00:00,Chievo,Roma,3,5
20/05/17,00:00,Napoli,Fiorentina,4,1
21/05/17,00:00,Empoli,Atalanta,0,1
21/05/17,00:00,Genoa,Torino,2,1
21/05/17,00:00,Lazio,Inter,1,3
21/05/17,00:00,Milan,Bologna,3,0
21/05/17,00:00,Sassuolo,Cagliari,6,2
21/05/17,00:00,Udinese,Sampdoria,1,1
27/05/17,00:00,Atalanta,Chievo,1,0
27/05/17,00:00,Bologna,Juventus,1,2
28/05/17,00:00,Cagliari,Milan,2,1
28/05/17,00:00,Inter,Udinese,5,2
28/05/17,00:00,Roma,Genoa,3,2
28/05/17,00:00,Sampdoria,Napoli,2,4
28/05/17,00:00,Torino,Sassuolo,5,3
2018-08-18,18:00,Chievo,Juventus,2,3
2018-08-18,20:30,Lazio,Napoli,1,2
2018-08-19,18:00,Torino,Roma,0,1
2018-08-19,20:30,Sassuolo,Inter,1,0
2018-08-19,20:30,Parma,Udinese,2,2
2018-08-19,20:30,Empoli,Cagliari,2,0
2018-08-19,20:30,Bologna,Spal,0,1
2018-08-20,20:30,Atalanta,Frosinone,4,0
2018-08-25,18:00,Juventus,Lazio,2,0
2018-08-25,20:30,Napoli,Milan,3,2
2018-08-26,18:00,Spal,Parma,1,0
2018-08-26,20:30,Udinese,Sampdoria,1,0
2018-08-26,20:30,Inter,Torino,2,2
2018-08-26,20:30,Genoa,Empoli,2,1
2018-08-26,20:30,Frosinone,Bologna,0,0
2018-08-26,20:30,Fiorentina,Chievo,6,1
2018-08-26,20:30,Cagliari,Sassuolo,2,2
2018-08-27,20:30,Roma,Atalanta,3,3
2018-08-31,20:30,Milan,Roma,2,1
2018-09-01,18:00,Bologna,Inter,0,3
2018-09-01,20:30,Parma,Juventus,1,2
2018-09-02,18:00,Fiorentina,Udinese,1,0
2018-09-02,20:30,Torino,Spal,1,0
2018-09-02,20:30,Sassuolo,Genoa,5,3
2018-09-02,20:30,Sampdoria,Napoli,3,0
